Name,Phone,Address,Zip Code
City of Austin Hazardous Waste Facility,512-974-4343,"2514 Business Center Drive
Austin, TX
(30.213055670000074, -97.73830904299996)",78744
Countryside Nursery,512-249-0100,"13292 Pond Springs Rd.
Austin, TX
(30.447907988000054, -97.78191714899998)",78729
Crowe's Nest Farm,512-272-4418,"10300 Taylor Lane
Austin, TX
(30.256528626000033, -97.73337449099995)",78653
Gaddy's (Pflugerville),512-251-4428,"403 FM 685
Pflugerville, TX
(30.267593273000045, -97.74298658099997)",78660
Garden-Ville/Bee Cave,512-219-5311,"4001 Ranch Rd 620
Austin, TX
(30.396739144000037, -97.92265605699998)",78738
Geo Growers,512-892-2722,"12002 Hwy 290
Austin, TX
(30.21116362300006, -97.96870779199998)",78737
It's About Thyme,512-280-1192,"11726 Manchaca Rd.
Austin, TX
(30.149619099000063, -97.83321212599998)",78748
John Deere Landscapes (Pflugerville)(Wholesale),512-989-7510,"1938 Waukesha
Pflugerville, TX
(30.460397854000064, -97.66557296199994)",78660
King Ranch Turfgrass  (North),512-335-3636,"7221 McNeil Dr.
Austin, TX
(30.43548408500004, -97.76607096899994)",78729
Landmark Nursery (Round Rock)(Wholesale),512-251-9238,"1510 Royston Ln.
Round Rock, TX
(30.267593273000045, -97.74298658099997)",78664
Leaf Landscape Supply,512-288-5900,"5700 W. US Hwy 290
Austin, TX
(30.236737365000067, -97.84575471299996)",78735
Lowe's (Sunset Valley),512-895-5560,"6400 Brodie Ln
Austin, TX
(30.218936916000075, -97.82732626999996)",78745
Native Texas Nursery (Wholesale),512-276-9801,"16019 Milo Road
Austin, TX
(30.22405189500006, -97.55930321599999)",78725
North Austin YMCA *,512-973-9622,"1000 West Rundberg Lane
Austin, TX
(30.364595708000024, -97.69992884099997)",78758
Pan American Recreation Center *,512-476-9193,"2100 E. 3rd Street
Austin, TX
(30.25785638600007, -97.72073098399994)",78702
Red Barn Garden Center,512-335-8093,"12881 Pond Springs Rd.
Austin, TX
(30.436778098000048, -97.77103615099998)",78729
Sustainable Food Center *,512-236-0074,"2921 E. 17th Street, Building C
Austin, TX
(30.27939368600005, -97.70977624099999)",78702
Texas A&M Agrilife Extention,512-854-9600,"1600 Smith Road #B
Austin, TX
(30.258117954000056, -97.67825557199996)",78721
The Great Outdoors,512-448-2992,"2730 S.Congress Ave.
Austin, TX
(30.23445930400004, -97.75723411999996)",78704
Tillery Street Plant Company,512-567-1090,"701 Tillery Street
Austin, TX
(30.260687543000074, -97.70458290699997)",78702
Tree House,512-867-0712,"4477 S. Lamar
Austin, TX
(30.232125102000055, -97.79956519999996)",78745
Vickery (Wholesale),512-291-0400,"8314 Daffin Ln
Austin, TX
(30.313176284000065, -97.61764785299994)",78724
Virginia L. Brown Senior Center *,512-974-7865,"7500 Blessing Avenue
Austin, TX
(30.331946955000035, -97.69306584999998)",78752
Wal-Mart (Norwood NE),512-339-6060,"1030 Norwood Park Blvd.
Austin, TX
(30.33883529600007, -97.69270403399997)",78753
Austin Nature & Science Center *,512-327-8181,"301 Nature Center Dr.
Austin, TX
(30.272317523000027, -97.77514288399999)",78746
Austin Water Waller Creek Center - 6th Floor *,512-974-2199,"625 E 10th Street
Austin, TX
(30.269834356000047, -97.73455836599999)",78701
Brushy Creek MUD (Round Rock),512-255-7871,"16318 Great Oaks Dr.
Round Rock, TX
(30.487496312000076, -97.71941679699995)",78681
Lady Bird Wildflower Center (** may be admission),512-232-0100,"4801 La Crosse Avenue
Austin, TX
(30.185883712000077, -97.87076614199998)",78739
